LastUpdated,PM10
2018-09-09 17:30:00,15.733
2018-09-09 17:15:00,24.173
2018-09-09 17:00:00,23.526
2018-09-09 16:45:00,19.839
2018-09-09 16:30:00,21.266
2018-09-09 16:15:00,24.746
2018-09-09 16:00:00,19.446
2018-09-09 15:45:00,17.739
2018-09-09 15:30:00,13.273
2018-09-09 15:15:00,15.573
2018-09-09 15:00:00,8.899
2018-09-09 14:45:00,5.919
2018-09-09 14:30:00,13.053
2018-09-09 14:15:00,20.439
2018-09-09 14:00:00,9.306
2018-09-09 13:45:00,3.953
2018-09-09 13:30:00,3.913
2018-09-09 13:15:00,13.719
2018-09-09 13:00:00,13.966
2018-09-09 12:45:00,7.493
2018-09-09 12:30:00,7.919
2018-09-09 12:15:00,16.626
2018-09-09 12:00:00,12.806
2018-09-09 11:45:00,6.159
2018-09-09 11:30:00,7.193
2018-09-09 11:15:00,10.146
2018-09-09 11:00:00,17.713
2018-09-09 10:45:00,7.493
2018-09-09 10:30:00,3.799
2018-09-09 10:15:00,19.199
2018-09-09 10:00:00,15.693
2018-09-09 09:45:00,-12.379
2018-09-09 09:30:00,7.186
2018-09-09 09:15:00,8.433
2018-09-09 09:00:00,4.586
2018-09-09 08:45:00,13.719
2018-09-09 08:30:00,11.799
2018-09-09 08:15:00,0.253
2018-09-09 08:00:00,10.113
2018-09-09 07:45:00,10.106
2018-09-09 07:30:00,7.513
2018-09-09 07:15:00,3.926
2018-09-09 07:00:00,6.019
2018-09-09 06:45:00,8.086
2018-09-09 06:30:00,6.453
2018-09-09 06:15:00,8.186
2018-09-09 06:00:00,10.773
2018-09-09 05:45:00,11.899
2018-09-09 05:30:00,11.419
2018-09-09 05:15:00,9.466
2018-09-09 05:00:00,8.419
2018-09-09 04:45:00,10.146
2018-09-09 04:30:00,9.466
2018-09-09 04:15:00,6.418
2018-09-09 04:00:00,7.579
2018-09-09 03:45:00,7.559
2018-09-09 03:30:00,7.459
2018-09-09 03:15:00,7.806
2018-09-09 03:00:00,8.419
2018-09-09 02:45:00,6.966
2018-09-09 02:30:00,7.726
2018-09-09 02:15:00,6.799
2018-09-09 02:00:00,7.386
2018-09-09 01:45:00,7.586
2018-09-09 01:30:00,7.593
2018-09-09 01:15:00,9.546
2018-09-09 01:00:00,10.919
2018-09-09 00:45:00,9.633
2018-09-09 00:30:00,9.566
2018-09-09 00:15:00,11.633
2018-09-08 22:45:00,9.159
2018-09-08 22:30:00,7.719
2018-09-08 22:15:00,8.379
2018-09-08 22:00:00,9.033
2018-09-08 21:45:00,9.779
2018-09-08 21:30:00,10.386
2018-09-08 21:15:00,9.873
2018-09-08 21:00:00,14.533
2018-09-08 20:45:00,12.233
2018-09-08 20:30:00,12.946
2018-09-08 20:15:00,15.859
2018-09-08 20:00:00,13.699
2018-09-08 19:45:00,13.093
2018-09-08 19:30:00,14.073
2018-09-08 19:15:00,17.599
2018-09-08 19:00:00,13.646
2018-09-08 18:45:00,15.239
2018-09-08 18:30:00,13.106
2018-09-08 18:15:00,16.313
2018-09-08 18:00:00,14.219
2018-09-08 17:45:00,17.453
2018-09-08 17:30:00,15.686
2018-09-08 17:15:00,15.373
2018-09-08 17:00:00,14.699
2018-09-08 16:45:00,9.479
2018-09-08 16:30:00,11.473
2018-09-08 16:15:00,11.799
2018-09-08 16:00:00,13.726
2018-09-08 15:45:00,9.253
2018-09-08 15:30:00,8.579
2018-09-08 15:15:00,6.873
2018-09-08 15:00:00,8.946
2018-09-08 14:45:00,3.299
2018-09-08 14:30:00,8.679
2018-09-08 14:15:00,7.579
2018-09-08 14:00:00,8.166
2018-09-08 13:45:00,12.599
2018-09-08 13:30:00,-1.279
2018-09-08 13:15:00,4.906
2018-09-08 13:00:00,-1.513
2018-09-08 12:45:00,-16.679
2018-09-08 12:30:00,-31.653
2018-09-08 12:15:00,-27.479
2018-09-08 12:00:00,9.873
2018-09-08 11:45:00,12.219
2018-09-08 11:30:00,11.826
2018-09-08 11:15:00,9.193
2018-09-08 11:00:00,9.293
2018-09-08 10:45:00,8.119
2018-09-08 10:30:00,4.773
2018-09-08 10:15:00,-10.466
2018-09-08 10:00:00,0.279
2018-09-08 09:45:00,-1.886
2018-09-08 09:30:00,0.046
2018-09-08 09:15:00,1.826
2018-09-08 09:00:00,-4.193
2018-09-08 08:45:00,-1.439
2018-09-08 08:30:00,-20.713
2018-09-08 08:15:00,-13.686
2018-09-08 08:00:00,11.573
2018-09-08 07:45:00,12.533
2018-09-08 07:30:00,18.266
2018-09-08 07:15:00,22.013
2018-09-08 07:00:00,22.519
2018-09-08 06:45:00,19.826
2018-09-08 06:30:00,20.073
2018-09-08 06:15:00,22.139
2018-09-08 06:00:00,20.219
2018-09-08 05:45:00,22.286
2018-09-08 05:30:00,24.559
2018-09-08 05:15:00,27.493
2018-09-08 05:00:00,22.826
2018-09-08 04:45:00,21.826
2018-09-08 04:30:00,22.519
2018-09-08 04:15:00,28.418
2018-09-08 04:00:00,30.939
2018-09-08 03:45:00,32.819
2018-09-08 03:30:00,30.366
2018-09-08 03:15:00,27.826
2018-09-08 03:00:00,27.693
2018-09-08 02:45:00,26.973
2018-09-08 02:30:00,27.179
2018-09-08 02:15:00,25.999
2018-09-08 02:00:00,28.913
2018-09-08 01:45:00,26.079
2018-09-08 01:30:00,29.739
2018-09-08 01:15:00,31.159
2018-09-08 01:00:00,28.533
2018-09-08 00:45:00,21.546
2018-09-08 00:30:00,29.879
2018-09-08 00:15:00,30.299
2018-09-07 22:45:00,32.593
2018-09-07 22:30:00,30.953
2018-09-07 22:15:00,33.846
2018-09-07 22:00:00,35.333
2018-09-07 21:45:00,36.166
2018-09-07 21:30:00,35.586
2018-09-07 21:15:00,34.866
2018-09-07 21:00:00,34.173
2018-09-07 20:45:00,33.273
2018-09-07 20:30:00,30.826
2018-09-07 20:15:00,32.619
2018-09-07 20:00:00,33.126
2018-09-07 19:45:00,30.266
2018-09-07 19:30:00,26.186
2018-09-07 19:15:00,22.893
2018-09-07 19:00:00,26.206
2018-09-07 18:45:00,26.373
2018-09-07 18:30:00,29.079
2018-09-07 18:15:00,32.266
2018-09-07 18:00:00,31.559
2018-09-07 17:45:00,29.526
2018-09-07 17:30:00,21.759
2018-09-07 17:15:00,11.626
2018-09-07 17:00:00,17.006
2018-09-07 16:45:00,27.259
2018-09-07 16:30:00,35.306
2018-09-07 16:15:00,35.213
2018-09-07 16:00:00,35.573
2018-09-07 15:45:00,31.606
2018-09-07 15:30:00,32.633
2018-09-07 15:15:00,21.566
2018-09-07 15:00:00,21.246
2018-09-07 14:45:00,18.033
2018-09-07 14:30:00,16.906
2018-09-07 14:15:00,20.679
2018-09-07 14:00:00,23.326
2018-09-07 13:45:00,19.913
2018-09-07 13:30:00,20.073
2018-09-07 13:15:00,23.133
2018-09-07 13:00:00,23.393
2018-09-07 12:45:00,27.539
2018-09-07 12:30:00,29.206
2018-09-07 12:15:00,30.486
2018-09-07 12:00:00,31.513
2018-09-07 11:45:00,30.786
2018-09-07 11:30:00,27.366
2018-09-07 11:15:00,27.799
2018-09-07 11:00:00,19.886
2018-09-07 10:45:00,17.079
2018-09-07 10:30:00,18.406
2018-09-07 10:15:00,21.739
2018-09-07 10:00:00,27.053
2018-09-07 09:45:00,28.993
2018-09-07 09:30:00,27.259
2018-09-07 09:15:00,16.486
2018-09-07 09:00:00,19.166
2018-09-07 08:45:00,23.913
2018-09-07 08:30:00,27.666
2018-09-07 08:15:00,23.519
2018-09-07 08:00:00,18.046
2018-09-07 07:45:00,15.953
2018-09-07 07:30:00,16.213
2018-09-07 07:15:00,17.879
2018-09-07 07:00:00,19.253
2018-09-07 06:45:00,19.286
2018-09-07 06:30:00,14.653
2018-09-07 06:15:00,18.426
2018-09-07 06:00:00,17.693
2018-09-07 05:45:00,15.853
2018-09-07 05:30:00,19.866
2018-09-07 05:15:00,17.219
2018-09-07 05:00:00,16.526
2018-09-07 04:45:00,16.499
2018-09-07 04:30:00,17.926
2018-09-07 04:15:00,15.018
2018-09-07 04:00:00,10.579
2018-09-07 03:45:00,9.459
2018-09-07 03:30:00,6.513
2018-09-07 03:15:00,4.733
2018-09-07 03:00:00,5.526
2018-09-07 02:45:00,9.573
2018-09-07 02:30:00,14.719
2018-09-07 02:15:00,7.853
2018-09-07 02:00:00,6.806
2018-09-07 01:45:00,6.726
2018-09-07 01:30:00,5.266
2018-09-07 01:15:00,7.653
2018-09-07 01:00:00,7.033
2018-09-07 00:45:00,9.293
2018-09-07 00:30:00,11.159
2018-09-07 00:15:00,16.119
2018-09-06 22:45:00,8.386
2018-09-06 22:30:00,8.533
2018-09-06 22:15:00,9.919
2018-09-06 22:00:00,16.226
2018-09-06 21:45:00,14.746
2018-09-06 21:30:00,15.446
2018-09-06 21:15:00,17.686
2018-09-06 21:00:00,13.266
2018-09-06 20:45:00,12.566
2018-09-06 20:30:00,11.119
2018-09-06 20:15:00,8.246
2018-09-06 20:00:00,9.093
2018-09-06 19:45:00,6.833
2018-09-06 19:30:00,9.213
2018-09-06 19:15:00,11.673
2018-09-06 19:00:00,14.279
2018-09-06 18:45:00,13.106
2018-09-06 18:30:00,12.259
2018-09-06 18:15:00,11.733
2018-09-06 18:00:00,12.726
2018-09-06 17:45:00,11.193
2018-09-06 17:30:00,9.073
2018-09-06 17:15:00,9.379
2018-09-06 17:00:00,5.233
2018-09-06 16:45:00,10.706
2018-09-06 16:30:00,15.046
2018-09-06 16:15:00,1.34
2018-09-06 16:00:00,6.966
2018-09-06 15:45:00,15.953
2018-09-06 15:30:00,16.099
2018-09-06 15:15:00,7.446
2018-09-06 15:00:00,13.006
2018-09-06 14:45:00,18.046
2018-09-06 14:30:00,12.506
2018-09-06 14:15:00,15.753
2018-09-06 14:00:00,25.799
2018-09-06 13:45:00,24.499
2018-09-06 13:30:00,12.039
2018-09-06 13:15:00,13.106
2018-09-06 13:00:00,16.626
